audit_item,result,interpretation
Raw population,1000,"1,000 supplied records; the raw CSV remains unchanged."
Observed targets,805,805 records have observed 12-month outcomes.
Missing targets,195,195 records (19.5%) are right-censored and cannot be labeled non-default.
Eligible after deduplication,787,27 defaults; prevalence 3.43%.
Unavailable labels at rounded 12.0 months,5,Five rows remain unavailable at a rounded 12.0 months; label_available is retained as the controlling maturity flag.
Probable duplicate rows,36,18 pairs are identical on every supplied field except customer_id; one duplicate from each pair is excluded pending reconciliation.
Exact full-row duplicates,0,No full-row duplicates because the copied records carry different customer IDs.
Repeated customer IDs,0,No repeated IDs in this extract. Production splitting must still group by customer if repeats later appear.
Implausible employment tenure,55,55 values exceed age minus 14. Employment years is excluded until source correction.
Missing application income,32,3.2%; retained with a training-only indicator and median imputation.
Missing credit score,29,2.9%; imputation remains inside each training fold.
Missing utilization,23,2.3%; missing among defaults 7.4% versus 2.4% among non-defaults.
Income range,"$18,000 to $350,000",Extreme incomes are plausible in context and are not mechanically deleted or winsorized.
Credit score range,497 to 840,Values remain inside the expected bureau-score range.
Geography cardinality,12 states; 48 ZIP prefixes,ZIP target encoding would be unstable and creates proxy/redlining risk.
Unique identifier cardinality,1000,customer_id is unique and must not be converted into a predictor.
"Observed default rate, 2022",2.42%,The event rate changes over calendar time.
"Observed default rate, 2024",5.24%,Higher than 2022; random splitting would hide this shift.
2025 label availability,0.0%,All 2025 applications are censored in this extract.
Development partition,471,12 defaults; 2022-01-06 to 2023-09-02.
Validation partition,156,6 defaults; 2023-09-03 to 2024-03-20.
Final out-of-time test,160,9 defaults; 2024-03-21 to 2024-09-29.
Bad-test train overlap,256,52.7% of bad-test rows reuse an original record seen in training; all 256 bad-test defaults are contaminated.
Post-decision direct proxies,days_past_due_6m_after; charged_off_amount_12m; account_status_12m,These variables directly reveal the future outcome and are excluded.
Fairness review fields,age; state; zip_prefix; home_ownership; channel,Age and geography are excluded; retained application fields require ongoing proxy and subgroup monitoring.
